album_title,album_release_date,track_genre_top,track_listens
AWOL - A Way Of Life,2009-01-05 00:00:00,Hip-Hop,1293
AWOL - A Way Of Life,2009-01-05 00:00:00,Hip-Hop,514
AWOL - A Way Of Life,2009-01-05 00:00:00,Hip-Hop,1151
Constant Hitmaker,2008-02-06 00:00:00,Pop,50135
AWOL - A Way Of Life,2009-01-05 00:00:00,Hip-Hop,943
mp3,2009-01-07 00:00:00,Rock,1832
mp3,2009-01-07 00:00:00,Rock,1832
mp3,2009-01-07 00:00:00,Rock,1498
mp3,2009-01-07 00:00:00,Rock,1498
Live at LACE,2006-12-01 00:00:00,Experimental,1278
Live at LACE,2006-12-01 00:00:00,Experimental,489
Every Man For Himself,2009-01-16 00:00:00,Folk,582
The Blind Spot,2007-05-22 00:00:00,Folk,1299
Every Man For Himself,2009-01-16 00:00:00,Folk,725
The Quiet Room,2005-01-25 00:00:00,Folk,848
Amoebiasis,2009-01-06 00:00:00,Jazz,1143
Amoebiasis,2009-01-06 00:00:00,Jazz,883
Limbic Rage,1995-01-01 00:00:00,Jazz,690
Limbic Rage,1995-01-01 00:00:00,Jazz,766
Contradiction,2009-01-15 00:00:00,Experimental,1831
Two Gong/Wire Pieces,2009-01-09 00:00:00,Experimental,453
Two Gong/Wire Pieces,2009-01-09 00:00:00,Experimental,407
Make Them Suffer,2009-01-06 00:00:00,Rock,148
Make Them Suffer,2009-01-06 00:00:00,Rock,98
Arc and Sender,2005-06-07 00:00:00,Rock,424
Arc and Sender,2005-06-07 00:00:00,Rock,205
unreleased demo,2009-01-06 00:00:00,Rock,197
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,362
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,190
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,163
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,130
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,110
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,121
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,109
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,94
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,70
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,140
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,180
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,80
Thee Haunted Cobblestone Sunset Concert Series #7,2004-01-01 00:00:00,Experimental,100
Boss of Goth,2008-06-23 00:00:00,Rock,270
Nightmarcher,2007-01-01 00:00:00,Rock,122
Victim of Your Life,2009-01-06 00:00:00,Rock,242
Heir to the Power Bear Fortune,2009-01-06 00:00:00,Rock,90
Boss of Goth,2008-06-23 00:00:00,Rock,177
Boss of Goth,2008-06-23 00:00:00,Rock,116
Nightmarcher,2007-01-01 00:00:00,Rock,72
Victim of Your Life,2009-01-06 00:00:00,Rock,104
Boss of Goth,2008-06-23 00:00:00,Rock,160
"Tarantula Downpour 7""",2009-01-06 00:00:00,Rock,149
Dracula Safari,2009-01-06 00:00:00,Rock,226
Scared Famous,2007-04-13 00:00:00,Rock,1339
Worn Copy,2005-04-26 00:00:00,Rock,5547
The Doldrums,2004-10-12 00:00:00,Rock,869
House Arrest,2009-01-06 00:00:00,Rock,831
Blue Piano,2009-01-07 00:00:00,Folk,1253
Blue Piano,2009-01-07 00:00:00,Folk,1253
What I Know,2009-01-07 00:00:00,Folk,101
Blue Piano,2009-01-07 00:00:00,Folk,945
Blue Piano,2009-01-07 00:00:00,Folk,945
What I Know,2009-01-07 00:00:00,Folk,64
What I Know,2009-01-07 00:00:00,Folk,125
Blue Piano,2009-01-07 00:00:00,Folk,824
Blue Piano,2009-01-07 00:00:00,Folk,824
Blue Piano,2009-01-07 00:00:00,Folk,754
Blue Piano,2009-01-07 00:00:00,Folk,754
What I Know,2009-01-07 00:00:00,Folk,138
What I Know,2009-01-07 00:00:00,Folk,75
Blue Piano,2009-01-07 00:00:00,Folk,833
Blue Piano,2009-01-07 00:00:00,Folk,833
Blue Piano,2009-01-07 00:00:00,Folk,451
Blue Piano,2009-01-07 00:00:00,Folk,451
What I Know,2009-01-07 00:00:00,Folk,38
Blue Piano,2009-01-07 00:00:00,Folk,772
Blue Piano,2009-01-07 00:00:00,Folk,772
What I Know,2009-01-07 00:00:00,Folk,150
What I Know,2009-01-07 00:00:00,Folk,46
Blue Piano,2009-01-07 00:00:00,Folk,603
Blue Piano,2009-01-07 00:00:00,Folk,603
Blue Piano,2009-01-07 00:00:00,Folk,688
Blue Piano,2009-01-07 00:00:00,Folk,688
What I Know,2009-01-07 00:00:00,Folk,69
What I Know,2009-01-07 00:00:00,Folk,87
Blue Piano,2009-01-07 00:00:00,Folk,609
Blue Piano,2009-01-07 00:00:00,Folk,609
Blue Piano,2009-01-07 00:00:00,Folk,397
Blue Piano,2009-01-07 00:00:00,Folk,397
Blue Piano,2009-01-07 00:00:00,Folk,351
Blue Piano,2009-01-07 00:00:00,Folk,351
Blue Piano,2009-01-07 00:00:00,Folk,1824
Blue Piano,2009-01-07 00:00:00,Folk,1824
Blue Piano,2009-01-07 00:00:00,Folk,1714
Blue Piano,2009-01-07 00:00:00,Folk,1714
Blue Piano,2009-01-07 00:00:00,Folk,551
Blue Piano,2009-01-07 00:00:00,Folk,551
Au,2007-07-05 00:00:00,Pop,1148
Bad News Bats,2006-01-01 00:00:00,Rock,1351
Bad News Bats,2006-01-01 00:00:00,Rock,1366
6,2003-01-11 00:00:00,Jazz,1276
6,2003-01-11 00:00:00,Jazz,1276
6,2003-01-11 00:00:00,Jazz,1277
6,2003-01-11 00:00:00,Jazz,1277
On Opaque Things,2009-01-09 00:00:00,Rock,532
On Opaque Things,2009-01-09 00:00:00,Rock,425
On Opaque Things,2009-01-09 00:00:00,Rock,374
On Opaque Things,2009-01-09 00:00:00,Rock,4495
Black Elk,2009-01-08 00:00:00,Rock,2311
Black Elk,2009-01-08 00:00:00,Rock,766
Black Elk,2009-01-08 00:00:00,Rock,1350
I,2005-01-01 00:00:00,Experimental,193
I,2005-01-01 00:00:00,Experimental,193
I,2005-01-01 00:00:00,Experimental,193
I,2005-01-01 00:00:00,Experimental,193
I,2005-01-01 00:00:00,Experimental,193
I,2005-01-01 00:00:00,Experimental,193
I,2005-01-01 00:00:00,Experimental,193
4: All Aboard the Magic Pus,2008-03-01 00:00:00,Experimental,593
III: Metamorpus,2006-06-01 00:00:00,Experimental,247
II,2006-01-01 00:00:00,Experimental,129
II,2006-01-01 00:00:00,Experimental,129
II,2006-01-01 00:00:00,Experimental,129
II,2006-01-01 00:00:00,Experimental,129
II,2006-01-01 00:00:00,Experimental,129
II,2006-01-01 00:00:00,Experimental,129
II,2006-01-01 00:00:00,Experimental,129
III: Metamorpus,2006-06-01 00:00:00,Experimental,233
4: All Aboard the Magic Pus,2008-03-01 00:00:00,Experimental,2114
II,2006-01-01 00:00:00,Experimental,126
II,2006-01-01 00:00:00,Experimental,126
II,2006-01-01 00:00:00,Experimental,126
II,2006-01-01 00:00:00,Experimental,126
II,2006-01-01 00:00:00,Experimental,126
II,2006-01-01 00:00:00,Experimental,126
II,2006-01-01 00:00:00,Experimental,126
I,2005-01-01 00:00:00,Experimental,136
I,2005-01-01 00:00:00,Experimental,136
I,2005-01-01 00:00:00,Experimental,136
I,2005-01-01 00:00:00,Experimental,136
I,2005-01-01 00:00:00,Experimental,136
I,2005-01-01 00:00:00,Experimental,136
I,2005-01-01 00:00:00,Experimental,136
III: Metamorpus,2006-06-01 00:00:00,Experimental,324
I,2005-01-01 00:00:00,Experimental,167
I,2005-01-01 00:00:00,Experimental,167
I,2005-01-01 00:00:00,Experimental,167
I,2005-01-01 00:00:00,Experimental,167
I,2005-01-01 00:00:00,Experimental,167
I,2005-01-01 00:00:00,Experimental,167
I,2005-01-01 00:00:00,Experimental,167
II,2006-01-01 00:00:00,Experimental,169
II,2006-01-01 00:00:00,Experimental,169
II,2006-01-01 00:00:00,Experimental,169
II,2006-01-01 00:00:00,Experimental,169
II,2006-01-01 00:00:00,Experimental,169
II,2006-01-01 00:00:00,Experimental,169
II,2006-01-01 00:00:00,Experimental,169
4: All Aboard the Magic Pus,2008-03-01 00:00:00,Experimental,330
I,2005-01-01 00:00:00,Experimental,276
I,2005-01-01 00:00:00,Experimental,276
I,2005-01-01 00:00:00,Experimental,276
I,2005-01-01 00:00:00,Experimental,276
I,2005-01-01 00:00:00,Experimental,276
I,2005-01-01 00:00:00,Experimental,276
I,2005-01-01 00:00:00,Experimental,276
Green Collection,2007-09-01 00:00:00,Rock,89
Stripey Collection,1982-04-06 00:00:00,Rock,167
Gold Collection,1981-01-01 00:00:00,Rock,2605
Green Collection,2007-09-01 00:00:00,Rock,50
Green Collection,2007-09-01 00:00:00,Rock,190
Stripey Collection,1982-04-06 00:00:00,Rock,260
Green Collection,2007-09-01 00:00:00,Rock,56
Gold Collection,1981-01-01 00:00:00,Rock,109
Stripey Collection,1982-04-06 00:00:00,Rock,1484
Green Collection,2007-09-01 00:00:00,Rock,748
Stripey Collection,1982-04-06 00:00:00,Rock,70
Green Collection,2007-09-01 00:00:00,Rock,69
Gold Collection,1981-01-01 00:00:00,Rock,297
Gold Collection,1981-01-01 00:00:00,Rock,90
Stripey Collection,1982-04-06 00:00:00,Rock,241
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,153
Green Collection,2007-09-01 00:00:00,Rock,325
Gold Collection,1981-01-01 00:00:00,Rock,309
Stripey Collection,1982-04-06 00:00:00,Rock,487
Green Collection,2007-09-01 00:00:00,Rock,304
Green Collection,2007-09-01 00:00:00,Rock,94
Stripey Collection,1982-04-06 00:00:00,Rock,106
Gold Collection,1981-01-01 00:00:00,Rock,217
Stripey Collection,1982-04-06 00:00:00,Rock,228
Stripey Collection,1982-04-06 00:00:00,Rock,164
Stripey Collection,1982-04-06 00:00:00,Rock,254
Green Collection,2007-09-01 00:00:00,Rock,58
Green Collection,2007-09-01 00:00:00,Rock,105
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,76
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,322
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,388
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,225
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,144
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,195
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,160
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,118
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,281
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,1629
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,165
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,192
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,111
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,251
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,181
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,71
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,97
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,125
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,90
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,150
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,505
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,139
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,108
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,65
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,144
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,165
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,182
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,62
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,255
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,65
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,59
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,98
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,47
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,326
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,67
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,55
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,2281
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,1551
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,71
30th Anniversary Blah Blah Blah,2009-01-01 00:00:00,Rock,47
Summer Set,2005-01-01 00:00:00,Electronic,351
Summer Set,2005-01-01 00:00:00,Electronic,843
Summer Set,2005-01-01 00:00:00,Electronic,289
Summer Set,2005-01-01 00:00:00,Electronic,294
Boogie Witch,2009-01-07 00:00:00,Rock,424
Boogie Witch,2009-01-07 00:00:00,Rock,280
Boogie Witch,2009-01-07 00:00:00,Rock,244
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,188
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,427
Root,2005-07-05 00:00:00,Electronic,587
Root,2005-07-05 00:00:00,Electronic,520
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,587
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,157
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,55
split with Sunshine Militant Children's Hour,2006-01-01 00:00:00,Electronic,558
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,392
Root,2005-07-05 00:00:00,Electronic,378
On the Back of a Dying Beast: Volume 1,2007-01-01 00:00:00,Electronic,148
Root,2005-07-05 00:00:00,Electronic,177
split with Sunshine Militant Children's Hour,2006-01-01 00:00:00,Electronic,254
Root,2005-07-05 00:00:00,Electronic,213
Root,2005-07-05 00:00:00,Electronic,185
Root,2005-07-05 00:00:00,Electronic,140
Root,2005-07-05 00:00:00,Electronic,3737
Root,2005-07-05 00:00:00,Electronic,243
The Definitive Host,2009-01-08 00:00:00,Experimental,194
The Definitive Host,2009-01-08 00:00:00,Experimental,168
The Definitive Host,2009-01-08 00:00:00,Experimental,117
The Definitive Host,2009-01-08 00:00:00,Experimental,3562
Original Soundtrack: Work for 20 DVD Players,2009-01-08 00:00:00,Experimental,648
The Definitive Host,2009-01-08 00:00:00,Experimental,117
The Definitive Host,2009-01-08 00:00:00,Experimental,118
The Definitive Host,2009-01-08 00:00:00,Experimental,100
The Definitive Host,2009-01-08 00:00:00,Experimental,72
The Definitive Host,2009-01-08 00:00:00,Experimental,82
The Definitive Host,2009-01-08 00:00:00,Experimental,57
The Definitive Host,2009-01-08 00:00:00,Experimental,57
The Definitive Host,2009-01-08 00:00:00,Experimental,47
The Definitive Host,2009-01-08 00:00:00,Experimental,45
The Definitive Host,2009-01-08 00:00:00,Experimental,57
The Definitive Host,2009-01-08 00:00:00,Experimental,181
The Definitive Host,2009-01-08 00:00:00,Experimental,122
The Definitive Host,2009-01-08 00:00:00,Experimental,82
The Definitive Host,2009-01-08 00:00:00,Experimental,280
Hunt Like Devil EP,2009-01-07 00:00:00,Rock,1241
Butthash,2009-01-07 00:00:00,Rock,7765
Lingua Ignota,2009-01-07 00:00:00,Rock,85
Birdlike Movements,2009-01-07 00:00:00,Rock,207
Vast and Sad,2002-01-01 00:00:00,Rock,176
Kohoutek,2009-01-07 00:00:00,Rock,28
Birdlike Movements,2009-01-07 00:00:00,Rock,82
Lingua Ignota,2009-01-07 00:00:00,Rock,49
Kohoutek,2009-01-07 00:00:00,Rock,39
Vast and Sad,2002-01-01 00:00:00,Rock,139
Lingua Ignota,2009-01-07 00:00:00,Rock,62
Vast and Sad,2002-01-01 00:00:00,Rock,118
Birdlike Movements,2009-01-07 00:00:00,Rock,60
Kohoutek,2009-01-07 00:00:00,Rock,27
Vast and Sad,2002-01-01 00:00:00,Rock,149
Kohoutek,2009-01-07 00:00:00,Rock,22
Birdlike Movements,2009-01-07 00:00:00,Rock,83
Lingua Ignota,2009-01-07 00:00:00,Rock,36
Vast and Sad,2002-01-01 00:00:00,Rock,116
Kohoutek,2009-01-07 00:00:00,Rock,29
Lingua Ignota,2009-01-07 00:00:00,Rock,38
Birdlike Movements,2009-01-07 00:00:00,Rock,218
Kohoutek,2009-01-07 00:00:00,Rock,17
Birdlike Movements,2009-01-07 00:00:00,Rock,95
Lingua Ignota,2009-01-07 00:00:00,Rock,85
Vast and Sad,2002-01-01 00:00:00,Rock,922
Kohoutek,2009-01-07 00:00:00,Rock,27
Birdlike Movements,2009-01-07 00:00:00,Rock,57
Lingua Ignota,2009-01-07 00:00:00,Rock,39
Vast and Sad,2002-01-01 00:00:00,Rock,175
Kohoutek,2009-01-07 00:00:00,Rock,29
Lingua Ignota,2009-01-07 00:00:00,Rock,42
Birdlike Movements,2009-01-07 00:00:00,Rock,71
Kohoutek,2009-01-07 00:00:00,Rock,14
Birdlike Movements,2009-01-07 00:00:00,Rock,42
Lingua Ignota,2009-01-07 00:00:00,Rock,39
Lingua Ignota,2009-01-07 00:00:00,Rock,2002
Kohoutek,2009-01-07 00:00:00,Rock,43
Kohoutek,2009-01-07 00:00:00,Rock,48
Lingua Ignota,2009-01-07 00:00:00,Rock,120
Kohoutek,2009-01-07 00:00:00,Rock,29
Lingua Ignota,2009-01-07 00:00:00,Rock,94
Sing Like Birds,2009-01-08 00:00:00,Rock,65
Sing Like Birds,2009-01-08 00:00:00,Rock,172
Sing Like Birds,2009-01-08 00:00:00,Rock,50
Sing Like Birds,2009-01-08 00:00:00,Rock,201
Sing Like Birds,2009-01-08 00:00:00,Rock,190
Sing Like Birds,2009-01-08 00:00:00,Rock,112
Sing Like Birds,2009-01-08 00:00:00,Rock,171
Sing Like Birds,2009-01-08 00:00:00,Rock,85
Sing Like Birds,2009-01-08 00:00:00,Rock,59
Sing Like Birds,2009-01-08 00:00:00,Rock,169
Sing Like Birds,2009-01-08 00:00:00,Rock,58
Sing Like Birds,2009-01-08 00:00:00,Rock,109
The Thrush,2008-09-15 00:00:00,Electronic,225
The Thrush,2008-09-15 00:00:00,Electronic,341
One Mind,2009-01-14 00:00:00,Folk,614
One Mind,2009-01-14 00:00:00,Folk,397
One Mind,2009-01-14 00:00:00,Folk,336
One Mind,2009-01-14 00:00:00,Folk,367
One Mind,2009-01-14 00:00:00,Folk,223
One Mind,2009-01-14 00:00:00,Folk,128
One Mind,2009-01-14 00:00:00,Folk,835
One Mind,2009-01-14 00:00:00,Folk,113
One Mind,2009-01-14 00:00:00,Folk,126
One Mind,2009-01-14 00:00:00,Folk,88
One Mind,2009-01-14 00:00:00,Folk,213
One Mind,2009-01-14 00:00:00,Folk,64
One Mind,2009-01-14 00:00:00,Folk,741
One Mind,2009-01-14 00:00:00,Folk,100
One Mind,2009-01-14 00:00:00,Folk,119
One Mind,2009-01-14 00:00:00,Folk,290
Unreleased,2009-01-08 00:00:00,Electronic,2632
Unreleased,2009-01-08 00:00:00,Electronic,2632
Cinwaves,2007-01-01 00:00:00,Rock,127
Cinwaves,2007-01-01 00:00:00,Rock,134
Cinwaves,2007-01-01 00:00:00,Rock,467
Cinwaves,2007-01-01 00:00:00,Rock,93
Cinwaves,2007-01-01 00:00:00,Rock,181
Cinwaves,2007-01-01 00:00:00,Rock,183
Cinwaves,2007-01-01 00:00:00,Rock,110
Cinwaves,2007-01-01 00:00:00,Rock,81
Cinwaves,2007-01-01 00:00:00,Rock,70
Cinwaves,2007-01-01 00:00:00,Rock,157
Cinwaves,2007-01-01 00:00:00,Rock,147
Babylon Rules,2009-01-08 00:00:00,Rock,751
Babylon Rules,2009-01-08 00:00:00,Rock,2617
unreleased Clyde Rourke mp3s,2009-01-16 00:00:00,Rock,96
unreleased Clyde Rourke mp3s,2009-01-16 00:00:00,Rock,200
unreleased Clyde Rourke mp3s,2009-01-16 00:00:00,Rock,55
unreleased Clyde Rourke mp3s,2009-01-16 00:00:00,Rock,43
CoCoComa,2008-01-01 00:00:00,Rock,460
CoCoComa,2008-01-01 00:00:00,Rock,349
"WAR (If It Feels Good, Do It!)",2009-01-08 00:00:00,Hip-Hop,536
"WAR (If It Feels Good, Do It!)",2009-01-08 00:00:00,Hip-Hop,858
"WAR (If It Feels Good, Do It!)",2009-01-08 00:00:00,Hip-Hop,330
"WAR (If It Feels Good, Do It!)",2009-01-08 00:00:00,Hip-Hop,227
"Puppy, Kitty or Both",2009-01-08 00:00:00,Experimental,218
Insects Awaken,2009-01-08 00:00:00,Experimental,530
"Puppy, Kitty or Both",2009-01-08 00:00:00,Experimental,166
Finally Here,2009-01-08 00:00:00,Jazz,2914
Finally Here,2009-01-08 00:00:00,Jazz,2624
Finally Here,2009-01-08 00:00:00,Jazz,2465
Finally Here,2009-01-08 00:00:00,Jazz,3092
Habitats In the Wound,2005-03-05 00:00:00,Folk,76
Clones of Eros,2007-12-04 00:00:00,Folk,660
Clones of Eros,2007-12-04 00:00:00,Folk,359
12 December 2007,2008-01-01 00:00:00,Folk,352
Double Dagger,2009-01-08 00:00:00,Rock,935
Double Dagger demo,2005-01-01 00:00:00,Rock,245
Double Dagger demo,2005-01-01 00:00:00,Rock,340
Double Dagger,2009-01-08 00:00:00,Rock,1072
Ragged Rubble,2009-01-08 00:00:00,Rock,418
"""rebukes!""",2006-03-22 00:00:00,Folk,508
Dragging an Ox Through Water - S/T3INCH,2003-08-20 00:00:00,Folk,370
The Tropics of Phenomenon,2008-10-04 00:00:00,Folk,566
Immaterial,2009-01-08 00:00:00,Experimental,1019
Immaterial,2009-01-08 00:00:00,Experimental,393
Rainy Day Song,2009-01-07 00:00:00,Folk,678
Rainy Day Song,2009-01-07 00:00:00,Folk,655
"Funeral Home Session 7""",2009-01-08 00:00:00,Rock,509
"Funeral Home Session 7""",2009-01-08 00:00:00,Rock,272
"Funeral Home Session 7""",2009-01-08 00:00:00,Rock,774
Radio Reverie in the Waiting Place,1999-01-01 00:00:00,Experimental,83
Radio Reverie in the Waiting Place,1999-01-01 00:00:00,Experimental,69
Rarebit,2009-01-13 00:00:00,Experimental,55
Dancing Walls Stir the Prairies,2007-01-01 00:00:00,Spoken,958
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,222
SNAP!,2001-05-01 00:00:00,Electronic,193
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,127
SNAP!,2001-05-01 00:00:00,Electronic,121
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,82
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,202
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,189
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,273
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,67
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,151
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,111
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,90
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,111
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,114
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,77
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,103
Spree: An Escape From Reality,2005-01-01 00:00:00,Electronic,50
"""I Stayed Home ..."" (single)",2009-01-08 00:00:00,Electronic,444
25 Lessons in HYPNOTISM,2002-10-01 00:00:00,Electronic,219
25 Lessons in HYPNOTISM,2002-10-01 00:00:00,Electronic,94
25 Lessons in HYPNOTISM,2002-10-01 00:00:00,Electronic,82
25 Lessons in HYPNOTISM,2002-10-01 00:00:00,Electronic,260
25 Lessons in HYPNOTISM,2002-10-01 00:00:00,Electronic,80
25 Lessons in HYPNOTISM,2002-10-01 00:00:00,Electronic,1835
Forty Minutes Forty Memories: Horrible Music by Ethan Persoff,2009-01-08 00:00:00,Electronic,3870
summer 2008 demos,2009-01-08 00:00:00,International,1902
summer 2008 demos,2009-01-08 00:00:00,International,2005
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,856
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,589
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,112
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,158
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,486
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,226
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,366
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,97
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,1225
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,409
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,91
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,315
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,642
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,292
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,162
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,145
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,587
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,117
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,539
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,220
Change Thoughts (radio edit),2007-01-01 00:00:00,Hip-Hop,289
Change Thoughts,2007-01-01 00:00:00,Hip-Hop,138
Cataclysm,2009-01-08 00:00:00,Rock,5724
Retrospectiw IV,2002-01-01 00:00:00,Rock,471
The Void,2004-01-01 00:00:00,Rock,573
Trauma,2009-01-08 00:00:00,Rock,326
Trauma,2009-01-08 00:00:00,Rock,326
mp3 single with Faust,2007-11-30 00:00:00,Hip-Hop,7883
Cock Rock Disco 2006 Free Compilation,2009-01-08 00:00:00,Hip-Hop,2826
Fuck The Future,2006-01-01 00:00:00,Rock,1119
Fuck The Future,2006-01-01 00:00:00,Rock,141
Fuck The Future,2006-01-01 00:00:00,Rock,409
Fuck The Future,2006-01-01 00:00:00,Rock,170
Fuck The Future,2006-01-01 00:00:00,Rock,53
Fuck The Future,2006-01-01 00:00:00,Rock,644
Fuck The Future,2006-01-01 00:00:00,Rock,950
Fuck The Future,2006-01-01 00:00:00,Rock,750
Macondo,2007-01-01 00:00:00,International,2105
Macondo,2007-01-01 00:00:00,International,2545
Macondo,2007-01-01 00:00:00,International,1948
Macondo,2007-01-01 00:00:00,International,1922
Macondo,2007-01-01 00:00:00,International,5007
Macondo,2007-01-01 00:00:00,International,3812
The Severed Tongue Speaks For Everyone,2009-01-09 00:00:00,Rock,157
